Référence du modèle;Taille; Code EAN ;Désignation;Collection;Segment;Quantités BL;Date Expe 
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;300;13/03/2025
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;250;19/03/2025
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;100;21/03/2025
B75806;40; 4 059 809 046 210 ;SAMBA OG;   Q325;CHAUSSURES;30;24/03/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;6;03/01/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;50;31/01/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;40;10/03/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;290;13/03/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;370;19/03/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;150;21/03/2025
B75806;42; 4 059 809 047 187 ;SAMBA OG;   Q325;CHAUSSURES;60;24/03/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;6;03/01/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;10;31/01/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;10;10/03/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;120;13/03/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;190;19/03/2025
B75806;44; 4 059 809 046 258 ;SAMBA OG;   Q325;CHAUSSURES;60;24/03/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;90;31/01/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;77;10/03/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;190;13/03/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;260;19/03/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;1600;21/03/2025
B75806;3623; 4 059 809 046 234 ;SAMBA OG;   Q325;CHAUSSURES;300;24/03/2025
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;270;31/01/2025
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;101;10/03/2025
B75806;3713; 4 059 809 047 088 ;SAMBA OG;   Q325;CHAUSSURES;540;13/03/2025
