ZONE;Pays;Type Entité;Catégorie Entité;Code Entité;Enseigne;Dispatch Mag ;Poids repartition (PVP Base article) ;Date debut ;Date fin ;Devise;Taux € / Devise;Taux TVA;;;;;;
AFR;GABON;Magasin;Sport;1698;DESTOCKAGE;A;0,20%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;GABON;Magasin;Sport;1699;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1806;CITY SPORT;A;0,85%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1809;CITY SPORT;A;0,45%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1821;CITY SPORT;A;0,66%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1822;GO SPORT;A;0,78%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1890;DESTOCKAGE;A;0,22%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1898;DESTOCKAGE;A;0,15%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;CAMEROUN;Magasin;Sport;1899;DESTOCKAGE;A;0,10%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
MGH;AUTRE;Magasin;Sport;9913;GO SPORT;A;5,85%;01/01/2022;31/12/2099;€;1;20;;;;;;
MGH;AUTRE;Magasin;Sport;9914;CITY SPORT;A;7,00%;01/01/2022;31/12/2099;€;1;20;;;;;;
MGH;ALGERIE;Magasin;Sport;1508;COURIR;A;2,00%;01/01/2024;31/12/2099;DZ;3,37;18;;;;;;
MGH;ALGERIE;Magasin;Sport;9916;GO SPORT;A;4,00%;01/01/2022;31/12/2099;DZ;3,37;18;;;;;;
MGH;ALGERIE;Magasin;Sport;9917;CITY SPORT;A;4,00%;01/01/2022;31/12/2099;DZ;3,37;18;;;;;;
AFR;SENEGAL;Magasin;Sport;9991;DESTOCKAGE;A;0,11%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9992;GO SPORT;A;0,80%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9993;CITY SPORT;A;0,67%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9994;CITY SPORT;A;0,68%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9995;CITY SPORT;A;0,99%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9996;COURIR;A;0,67%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
AFR;SENEGAL;Magasin;Sport;9997;DESTOCKAGE;A;0,18%;01/01/2022;31/12/2099;CFA;656;20;;;;;;
MGH;ALGERIE;Magasin;Sport;9998;COURIR;A;2,00%;01/01/2022;31/12/2099;DZ;3,37;18;;;;;;
MGH;AUTRE;Magasin;Sport;9999;COURIR;A;7,00%;01/01/2022;31/12/2099;€;1;20;;;;;;
