EAN;Référence;Magasin;Date_dispo;Quantité;;
4059811988515;B75807;0603;14/04/2024;4;;
4059811988515;B75807;0608;14/04/2024;4;;
4059811988515;B75807;0704;24/02/2024;4;;
4059811988515;B75807;1634;25/03/2024;3;;
4059811988515;B75807;0308;24/02/2024;3;;
4059811988515;B75807;1607;25/03/2024;3;;
4059811988515;B75807;0656;14/04/2024;3;;
4059811988515;B75807;0605;14/04/2024;3;;
4059811988515;B75807;1214;14/04/2024;3;;
4059811988515;B75807;1809;25/03/2024;3;;
4059811988515;B75807;0652;14/04/2024;3;;
4059811988515;B75807;0721;24/02/2024;3;;
4059811988515;B75807;1218;14/04/2024;3;;
4059811988515;B75807;1215;14/04/2024;2;;
4059811988515;B75807;0604;14/04/2024;2;;
4059811988515;B75807;0607;14/04/2024;2;;
4059811988515;B75807;1206;14/04/2024;2;;
4059811988515;B75807;0699;14/04/2024;2;;
4059811988515;B75807;1211;14/04/2024;2;;
4059811988515;B75807;0314;24/02/2024;2;;
4059811988515;B75807;1204;14/04/2024;2;;
4059811988515;B75807;1201;14/04/2024;2;;
4059811988515;B75807;1229;14/04/2024;2;;
4059811988515;B75807;0322;24/02/2024;2;;
4059811988515;B75807;0702;24/02/2024;2;;
4067886356443;IG6705;9914;07/04/2024;36;;
4067886356443;IG6705;9999;07/04/2024;36;;
4067886356443;IG6705;9917;07/04/2024;20;;
4067886356443;IG6705;1120;08/03/2024;11;;
4067886356443;IG6705;9998;07/04/2024;10;;
4067886356443;IG6705;1508;07/04/2024;10;;
4067886356443;IG6705;1118;08/03/2024;9;;
4067886356443;IG6705;1107;08/03/2024;9;;
4067886356443;IG6705;0643;07/04/2024;8;;
4067886356443;IG6705;0645;07/04/2024;8;;
4067886356443;IG6705;0606;07/04/2024;7;;
4067886356443;IG6705;0636;07/04/2024;7;;
4067886356443;IG6705;1134;08/03/2024;6;;
4067886356443;IG6705;1102;08/03/2024;6;;
4067886356443;IG6705;0720;17/02/2024;6;;
4067886356443;IG6705;0701;17/02/2024;5;;
4067886356443;IG6705;0703;17/02/2024;5;;
4067886356443;IG6705;1230;07/04/2024;5;;
4067886356443;IG6705;0301;17/02/2024;5;;
4067886356443;IG6705;0316;17/02/2024;5;;
4067886356443;IG6705;1115;08/03/2024;5;;
4067886356443;IG6705;9995;18/03/2024;5;;
4067886356443;IG6705;0705;17/02/2024;5;;
4067886356443;IG6705;0632;07/04/2024;5;;
4067886356443;IG6705;1130;08/03/2024;5;;
4062055561437;FU8298;9914;12/04/2024;10;;
4062055561437;FU8298;9917;12/04/2024;6;;
4062055561437;FU8298;1118;13/03/2024;2;;
4062055561437;FU8298;1107;13/03/2024;2;;
4062055561437;FU8298;0645;12/04/2024;2;;
4062055561437;FU8298;0606;12/04/2024;2;;
4062055561437;FU8298;1134;13/03/2024;2;;
4062055561437;FU8298;1102;13/03/2024;1;;
4062055561437;FU8298;0720;22/02/2024;1;;
4062055561437;FU8298;0701;22/02/2024;2;;
4062055561437;FU8298;0703;22/02/2024;2;;
4062055561437;FU8298;0301;22/02/2024;2;;
4062055561437;FU8298;1115;13/03/2024;2;;
4062055561437;FU8298;9995;23/03/2024;2;;
4062055561437;FU8298;0705;22/02/2024;2;;
4062055561437;FU8298;1130;13/03/2024;2;;
4062055561437;FU8298;0632;12/04/2024;2;;
4062055561437;FU8298;1312;23/03/2024;2;;
4062055561437;FU8298;0306;22/02/2024;2;;
4062055561437;FU8298;1806;23/03/2024;2;;
4066749408510;HQ8750;9914;29/04/2024;27;;
4066749408510;HQ8750;9999;29/04/2024;27;;
4066749408510;HQ8750;9917;29/04/2024;15;;
4066749408510;HQ8750;1120;30/03/2024;8;;
4066749408510;HQ8750;9998;29/04/2024;7;;
4066749408510;HQ8750;1508;29/04/2024;7;;
4066749408510;HQ8750;1118;30/03/2024;7;;
