Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
HF4030;AFC EU ANTHEM;TEXTILE;ADIDAS FOOTBALL APP LICENSED MEN;130;B;A;;X;;
HG4017;REAL TK SUIT;TEXTILE;ADIDAS FOOTBALL APP LICENSED MEN;110;B;A;X;X;;
HI3816;AJAX PRE WRMTOP;TEXTILE;ADIDAS FOOTBALL APP LICENSED MEN;110;C;A;;X;;
HL9217;PADDED VEST;TEXTILE;ADIDAS ORIGINALS APP MEN;95;C;A;X;;;
HN8513;HIIT GFX TK;TEXTILE;ADIDAS CORE SPORT APP MEN;28;B;A;X;X;;
HP1766;TIRO PNT PB;TEXTILE;ADIDAS FOOTBALL APP GENERIC MEN;65;B;A;X;X;;
HP1767;TIRO TK JKT PB;TEXTILE;ADIDAS FOOTBALL APP GENERIC MEN;65;B;A;X;X;;
HP5578;STAN SMITH;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;110;B;A;X;;X;
HP5580;STAN SMITH;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;110;B;A;X;;X;
HP5836;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;A;A;X;X;;X
HP5837;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;A;A;X;X;;
HP5838;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;
HP5839;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;X
HP5842;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;X
HP5845;RUNFALCON 3.0 K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;X
HP5867;RUNFALCON 3.0 EL K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;X
HP5869;RUNFALCON 3.0 EL K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;C;A;X;X;;X
HP5870;RUNFALCON 3.0 EL K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;
HP5872;RUNFALCON 3.0 EL K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;B;A;X;X;;
HP5873;RUNFALCON 3.0 EL K;CHAUSSURES;SPORTSWEAR FTW KIDS;40;A;A;X;X;;
HP6516;ADILETTE 22;CHAUSSURES;ORIGINALS FTW MEN;55;B;A;X;;X;X
HP6517;ADILETTE 22;CHAUSSURES;ORIGINALS FTW MEN;55;C;A;X;;X;
HP7544;RUNFALCON 3.0;CHAUSSURES;RUNNING/TRAIL;60;C;A;X;X;;X
HP7547;RUNFALCON 3.0;CHAUSSURES;RUNNING/TRAIL;60;A;A;X;X;;
HP7550;RUNFALCON 3.0;CHAUSSURES;RUNNING/TRAIL;60;B;A;X;X;;X
HP7556;RUNFALCON 3.0 W;CHAUSSURES;RUNNING/TRAIL;60;C;A;X;X;;
HP7568;RUNFALCON 3.0 TR;CHAUSSURES;RUNNING/TRAIL;65;C;A;X;X;;X
HQ1471;RUNFALCON 3.0;CHAUSSURES;RUNNING/TRAIL;60;C;A;X;X;;X
HQ1507;FORUM LOW CL;CHAUSSURES;ADIDAS ORIGINALS FTW MEN;95;C;A;X;;X;
HQ3790;RUNFALCON 3.0;CHAUSSURES;RUNNING/TRAIL;60;C;A;X;X;;X
HQ4243;STAN SMITH W;CHAUSSURES;ORIGINALS FTW WOMEN;110;C;A;X;;X;
HQ4670;ADILETTE 22;CHAUSSURES;ORIGINALS FTW MEN;60;B;A;X;;X;X
HQ4672;ADILETTE 22;CHAUSSURES;ORIGINALS FTW MEN;60;B;A;X;;X;X
HR1338;TERREX SWIFT R3;CHAUSSURES;OUTDOOR FTW MEN;140;C;A;;X;;
IB7426;3 STR SHORT;TEXTILE;ORIGINALS APP WOMEN;35;A;A;X;;X;
IC5467;SHORT TEE;TEXTILE;ORIGINALS APP WOMEN;35;C;A;X;;;
IC5483;NEW TRFTEEDRESS;TEXTILE;ORIGINALS APP WOMEN;45;C;A;X;;X;
S24010;EASTRAIL 2;CHAUSSURES;OUTDOOR FTW MEN;90;B;A;;X;;
15110;COPA MUNDIAL;CHAUSSURES;FOOTBALL FTW MEN;180;A;A;X;X;;
280647;ADILETTE;CHAUSSURES;ORIGINALS FTW MEN;35;A;A;X;;X;
280648;ADILETTE;CHAUSSURES;ORIGINALS FTW MEN;35;A;A;X;;X;
288022;ADILETTE;CHAUSSURES;ORIGINALS FTW MEN;35;A;A;X;;X;
656927;Tango Rosario;ACCESSOIRES;FOOTBALL ACC HW ALL;30;A;A;X;X;;
AH2229;GAZELLE CF I;CHAUSSURES;ORIGINALS FTW KIDS;55;B;A;X;;;
ED7679;CREW SET;TEXTILE;ORIGINALS APP KIDS;50;B;A;X;;;
B41645;GAZELLE;CHAUSSURES;ORIGINALS FTW MEN;110;A;A;X;;X;X
B42314;VL COURT 2.0;CHAUSSURES;SPORTSWEAR FTW WOMEN;65;C;A;X;X;;
B44869;VS PACE;CHAUSSURES;ADIDAS CORE SPORT INSPIRED FTW MEN;55;A;A;X;X;;
BA7129;ADILETTE J;CHAUSSURES;ORIGINALS FTW KIDS;38;C;A;X;;X;
